N: 100
H: 20.000000
W: 20.000000
Separation: 0.050000
Separation Strength: 0.010000
Alignment Strength: 0.100000
Cohesion Strength: 0.010000
Max Velocity: 5.000000
Final Time: 0.005000
Delta t: 0.001000
Frame Delta t: 0.001000
Filename: 04-27-2022_15-43-41.out
#,vX,vY,pX,pY


t = 0.000000
26,-1.874901,-3.614719,1.573122,12.206068 
27,0.144525,0.206898,3.875660,19.833534 
28,0.843498,-0.732641,5.861500,9.011623 
29,0.394046,-0.102224,17.037759,7.395965 
30,-2.049363,-0.794914,5.875445,15.187235 
31,-0.037668,0.085791,10.162574,12.331458 
32,1.007085,4.269376,11.719874,12.754384 
33,-1.554843,-0.100053,10.424748,11.063296 
34,1.344543,-1.433127,10.560657,19.562182 
35,-2.836239,1.859491,18.793941,17.203950 
36,-0.042847,-0.083726,9.878130,11.918783 
37,-2.155823,4.056288,15.944697,17.289288 
38,1.585232,1.449376,8.366678,2.576592 
39,1.685660,-1.745184,7.444884,8.592968 
40,0.215461,-0.506912,8.739726,4.056114 
41,-0.550740,-0.969199,15.300165,4.456833 
42,1.609071,-2.034353,1.867029,6.024483 
43,2.399183,-2.231302,0.861594,13.437271 
44,0.943179,0.205457,18.913916,19.998381 
45,-4.391150,-1.424857,16.625969,7.574980 
46,0.254858,-0.082602,9.045416,6.199319 
47,0.542312,-2.891306,9.357719,6.198720 
48,0.103538,0.626932,6.815874,12.654806 
49,-0.991329,-2.193686,1.516468,10.091515 
50,0.146253,-0.375888,7.868751,10.873729 
51,1.264314,-2.470868,19.885969,11.366247 
52,-0.901995,1.969943,19.664182,15.682663 
53,-1.152161,1.187137,6.882120,14.152965 
54,-1.195768,0.430688,15.120889,10.014901 
55,-3.106971,3.688103,7.737716,5.002191 
56,3.779146,-1.889137,11.070545,19.190801 
57,2.658039,-2.203180,18.851904,12.676418 
58,4.031239,-2.608675,14.115195,17.107489 
59,0.002700,0.565995,1.576758,16.018040 
60,2.892743,4.001041,1.000807,9.480937 
61,3.239531,-0.256803,8.487109,6.340078 
62,3.037984,3.112135,14.940126,8.895588 
63,-0.313877,0.296930,10.763607,1.625510 
64,3.825906,2.759803,13.671353,10.165537 
65,-1.103601,4.644081,18.066950,10.238907 
66,0.656359,0.875922,14.533533,15.121140 
67,-2.838964,1.918470,7.037059,12.248368 
68,-1.207596,-2.312856,17.707384,19.946958 
69,0.400846,0.715587,0.651547,5.315190 
70,0.291281,-0.174335,3.415057,8.674329 
71,4.266344,0.687370,10.827791,17.654741 
72,-2.514049,-1.568332,12.170760,0.668401 
73,-0.760365,-0.598284,0.609265,13.286428 
74,-3.683474,2.708168,6.762766,18.368271 
75,-1.392413,2.972636,0.969784,6.385744 
76,-0.270023,0.221974,19.602678,8.736239 
77,2.098888,0.166121,7.407075,1.955619 
78,1.491683,-1.332960,17.743940,7.157046 
79,-3.295277,-0.768900,13.197429,5.242705 
80,0.000356,-1.410490,4.988300,16.656633 
81,-0.530403,-0.442044,17.203610,4.205377 
82,2.318744,-0.507775,10.175724,15.047018 
83,-1.143680,1.046115,6.581947,7.644921 
84,0.465197,-0.435231,16.220239,10.295409 
85,-3.658074,-0.078014,3.183085,18.179312 
86,0.012924,-1.962234,6.086294,14.865088 
87,0.342321,-4.465136,7.122751,7.572081 
88,0.438300,-0.599777,11.833804,6.076011 
89,0.076074,1.649766,4.232961,16.680694 
90,1.112526,1.930589,16.592182,8.581987 
91,-1.250841,3.136749,14.457724,9.560460 
92,4.442632,1.629203,19.823686,0.726616 
93,-2.199525,1.707247,12.401167,11.669239 
94,0.986101,1.760573,1.675987,6.543433 
95,3.789248,1.375181,19.969629,3.969866 
96,3.187969,2.721914,2.556891,10.522822 
97,-3.635897,-2.352254,18.467536,16.537098 
98,0.210786,-2.729817,5.895009,10.036717 
99,-3.506847,0.777942,2.985066,12.598219 


t = 0.002000
0,2.429637,0.967339,3.877501,6.419177 
1,-3.902572,-1.281019,7.609577,3.748524 
2,-0.641889,-2.095570,0.766610,9.644588 
3,0.501501,0.008613,0.688789,12.953230 
4,3.248934,3.860452,6.880231,19.772014 
5,0.386336,3.799289,2.609323,8.956401 
6,2.175253,0.416059,0.391194,19.674641 
7,-0.350623,1.285282,11.136811,16.495947 
8,0.694492,-0.408343,18.878464,13.976742 
9,-2.966463,1.317842,14.814859,3.824739 
10,0.477620,-0.238901,5.501739,1.505132 
11,-2.416087,-1.956681,16.434066,2.644783 
12,-1.393351,-4.323674,8.745529,7.395822 
13,-2.488144,3.264935,3.403294,14.283398 
14,1.107244,1.301679,16.438621,11.334678 
15,-0.196001,-3.663241,14.228639,4.564555 
16,3.865689,3.293115,0.439288,5.447784 
17,-0.923311,-1.076216,12.502153,18.760086 
18,1.316801,-0.615679,6.580459,2.014995 
19,-1.096712,0.702872,9.447864,8.101617 
20,-0.029210,0.197369,6.947407,18.660800 
21,-1.273844,1.713373,6.364183,2.644877 
22,-0.609498,0.302507,12.164118,5.102987 
23,1.453178,-1.089742,13.510937,5.371819 
24,-4.271973,-1.936319,11.954228,8.207946 
25,-1.403962,-2.744708,5.805818,14.582182 
26,-1.788864,-3.510798,1.571333,12.204279 
27,0.205351,0.283268,3.875865,19.833739 
28,0.883620,-0.674011,5.862383,9.012507 
29,0.321771,-0.155771,17.038081,7.396287 
30,-2.006492,-0.736979,5.873439,15.185229 
31,-0.040090,0.100312,10.162534,12.331418 
32,0.987875,4.264070,11.720862,12.755371 
33,-1.558402,-0.087829,10.423190,11.061738 
34,1.336678,-1.421762,10.561994,19.563519 
35,-2.923054,1.785447,18.791018,17.201027 
36,-0.042512,-0.066189,9.878087,11.918741 
37,-2.214632,4.008452,15.942482,17.287073 
38,1.599130,1.481391,8.368277,2.578191 
39,1.708782,-1.701300,7.446593,8.594676 
40,0.227013,-0.476724,8.739953,4.056341 
41,-0.604670,-1.004158,15.299560,4.456228 
42,1.688594,-1.934099,1.868718,6.026172 
43,2.488143,-2.121442,0.864082,13.439759 
44,0.851353,0.131781,18.914768,19.999232 
45,-4.454570,-1.472826,16.621514,7.570525 
46,0.263253,-0.056031,9.045680,6.199582 
47,0.547270,-2.864995,9.358266,6.199267 
48,0.134620,0.674483,6.816008,12.654940 
49,-0.905581,-2.089985,1.515563,10.090610 
